App,Category,Website,Evidence,Doc Snippet
Zendesk,Support and Helpdesk,https://zendesk.com,https://developer.zendesk.com/api-reference/introduction/security-and-auth,"### OAuth access token

The Zendesk API supports OAuth authorization flows. For more information, see Using OAuth authentication with your application.

An OAuth token gives access to a single Zendesk instance (the one with the OAuth client used to create the token).

OAuth access tokens also permit client-side API requests. See Making cross-origin, browser-side API requests in the Zendesk API guide.

In your requests, specify the access token in an Authorization header as follows:

``` [...] If you plan on making an app, integration, or bot available to multiple Zendesk customers, you must use global OAuth access tokens to authenticate Zendesk API requests. You may not use regular API tokens or OAuth tokens because the Zendesk Developer Terms prohibits Zendesk customers from sharing their API credentials with you. For more information, see Set up a global OAuth client. [...] If you plan on distributing an app, integration, or bot to multiple Zendesk customers, you must use global OAut"
Intercom,Support and Helpdesk,https://intercom.com,https://github.com/api-evangelist/intercom/blob/main/graphql/intercom-graphql.md,"Intercom uses Bearer token authentication. Tokens are either personal access tokens (PATs) generated in the developer hub or OAuth 2.0 access tokens issued after completing an OAuth flow for third-party app integrations.

```
Authorization: Bearer  
```

OAuth 2.0 authorization endpoint: `

Documentation: 

## Rate Limits

 Standard: ~1000 requests per minute (166 req/10s)
 Search endpoints: ~200 requests per minute (33 req/10s)
 Bulk endpoints: ~100 requests per minute (16 req/10s) [...] ## Description

Intercom does not publish a public GraphQL API. Its developer platform is built entirely on REST. The GraphQL schema in this directory is a conceptual data model derived from the official Intercom REST API (OpenAPI specification), public documentation at , and the documented resource types that underpin the platform. [...] Schema source: conceptual model derived from Intercom REST OpenAPI (`openapi/intercom-openapi.yml`) and public documentation
 Schema status: REST-derived SDL, not fr"
Freshdesk,Support and Helpdesk,https://freshdesk.com,https://community.freshworks.dev/t/how-to-use-oauth-authentication-mechanism-for-freshdesk-api/1691,"On the developer portal the it seems like the app creation and submission process is when you are done with the development and are ready to publish. But my case is that I need it for development purpose. How can I get this done?

Any help is appreciated.

Hi @rs1812,

Freshdesk API doesn’t support OAuth. It only support Basic authentication mechanism. Checkout Freshdesk API documentation for detail. [...] I’m currently working on a project that integrates with Freshdesk, and I would like to know if the Freshdesk API now supports OAuth for authentication. If it does, could you please point me to the relevant documentation for implementing it?

Hi @Hasindu\_Bandara,

We are working on supporting OAuth for Freshdesk. So, it is expected to launch within 2 weeks.  
We will announce it to this community when it’s launched soon. You will receive an email announcement. Stay tuned. [...] This OAuth page is for Freshdesk Marketplace apps to connect with any other third-party applications that s"
Front,Support and Helpdesk,https://front.com,https://developer.affinity.co/pages/mcp/authentication,"OAuth authentication is only supported with the hosted MCP server (` If you are running a self-hosted MCP server, use API key authentication instead.

OAuth is the preferred way to connect to the Affinity MCP Server. It provides a secure, token-based connection without requiring you to manage API keys manually, and is supported by Claude (Desktop, Web, and CLI), Notion, and ChatGPT.

### ​ Authorizing Access [...] > ## Documentation Index
>
> Fetch the complete documentation index at:</llms.txt>
>
> Use this file to discover all available pages before exploring further.

Affinity Developer Documentation home pagelight logodark logo

DocumentationAPI ReferenceMCPData Share

Reference

# Authentication

Learn how to authenticate with the Affinity MCP Server

The Affinity MCP Server supports two authentication methods: OAuth (recommended for supported clients) and API key.

## ​ OAuth (Recommended) [...] Any admin can view and disable OAuth access for each client by navigating to Settings"
Pylon,Support and Helpdesk,https://usepylon.com,https://www.scalekit.com/blog/pylon-mcp-vs-api,"The MCP server runs on OAuth 2.0 exclusively. Pylon's support documentation is direct about the consequence: API key authentication is not currently available, which may affect usage in remote environments or platforms that do not support OAuth for remote connections.

The REST API is the mirror image. One mechanism, one credential type: an admin-created Bearer token that belongs to the organization, not to a person. There is no OAuth flow, no per-user token, and no delegated grant. [...] The usual MCP vs API auth tradeoff is inverted for Pylon. MCP is OAuth 2.0 with per-user identity. The REST API accepts one thing: an admin-created Bearer token scoped to the whole organization. There is no OAuth on the API path and no per-user token. [...] Authentication is a single mechanism: Authorization: Bearer . Only Admin users can create tokens, from the API Tokens page under Settings. Tokens can be restricted by IP range or web domain, and the admin center shows each token's prefix for identi"
LiveAgent,Support and Helpdesk,https://liveagent.com,https://www.scalekit.com/blog/stripe-mcp-vs-api,"Authentication is OAuth per the MCP specification for interactive clients. For autonomous agents, Stripe documents passing a restricted API key as a bearer token in the `Authorization` header. Administrators enable MCP access in the Dashboard, managed separately for sandbox and live mode. Official docs: `

### Stripe API [...] Authentication uses API keys. Restricted keys (prefix `rk_live_`) grant granular permissions and are the recommended credential; secret keys (`sk_live_`) grant full access and are discouraged. Platforms acting across many merchants use Connect, passing the `Stripe-Account` header with the platform's own key. Official docs: `

## Comparing them where it matters for agents

### What your agent can actually do [...] Connect is the second boundary. MCP authorizes a single account context, so platform onboarding and acting across many connected merchant accounts remain REST patterns. High-volume usage ingestion through the v2 Meter Event Stream is REST-only as well.

"
Plain,Support and Helpdesk,https://plain.com,https://docs.cryptohopper.com/ja/docs/cryptohopper-mcp/oauth-vs-api-key-authentication,"# OAuth vs. API key authentication

This page documents the two authentication mechanisms supported by the Cryptohopper Market Data MCP — OAuth 2.0 and bearer-token (API key) authentication — and explains when to choose each.

## Authentication methods supported by the MCP​

The Cryptohopper Market Data MCP supports two authentication mechanisms: [...] 1. OAuth 2.0— a browser-based authorisation flow. No long-lived secret is stored in the client config; the MCP client handles the token exchange and refresh on your behalf.
2. Bearer token (API key)— a long-lived key, generated through the Cryptohopper account interface, passed in the Authorization header of every MCP request: [...] Other Cryptohopper products may use different authentication mechanisms. The Cryptohopper REST Trading API uses its own credential scheme, which is separate from MCP authentication. See Combine MCP + Cryptohopper Trading API for end-to-end agents for how the two are used together.

A single Cryptohopper accou"
Help Scout,Support and Helpdesk,https://helpscout.com,https://www.scalekit.com/blog/stripe-mcp-vs-api,"Connect is the second boundary. MCP authorizes a single account context, so platform onboarding and acting across many connected merchant accounts remain REST patterns. High-volume usage ingestion through the v2 Meter Event Stream is REST-only as well.

### The auth path each one puts you on

This is where Stripe diverges from Slack, Notion, and Salesforce. Their hosted MCP servers are OAuth-only. Stripe's is not.

Auth method

Stripe MCP

Stripe API

Interactive user OAuth

Yes (MCP spec) [...] Authentication is OAuth per the MCP specification for interactive clients. For autonomous agents, Stripe documents passing a restricted API key as a bearer token in the `Authorization` header. Administrators enable MCP access in the Dashboard, managed separately for sandbox and live mode. Official docs: `

### Stripe API [...] Stripe MCP is the unusual one. Unlike most hosted MCP servers, it supports both OAuth and a restricted API key passed as a bearer token, so headless agents are a document"
Gorgias,Support and Helpdesk,https://gorgias.com,https://www.klavis.ai/docs/mcp-server/gorgias,"```
 import open from 'open';  import  open  from  'open'; // Open OAuth authorization page// Open OAuth authorization pageawait open(response.oauthUrls[Klavis.McpServerName.Gorgias]); await  open(response. oauthUrls[Klavis. McpServerName. Gorgias]);
```

```
# Copy and paste the OAuth URL into your browser # Copy and paste the OAuth URL into your browserecho ""Visit this URL to authorize:  echo ""Visit this URL to authorize: 
```

Get your Gorgias API key from your Gorgias Developer Hub. [...] # Pull the Docker image # Pull the Docker imagedocker pull ghcr.io/klavis-ai/gorgias-mcp-server:latest docker  pull ghcr.io/klavis-ai/gorgias-mcp-server:latest # Run with OAuth support (requires Klavis API key)# Run with OAuth support (requires Klavis API key)docker run -p 5000:5000 \ docker  run -p 5000:5000  \ -e KLAVIS_API_KEY=$KLAVIS_API_KEY \ -e KLAVIS_API_KEY= $KLAVIS_API_KEY  \ ghcr.io/klavis-ai/gorgias-mcp-server:latest ghcr.io/klavis-ai/gorgias-mcp-server:latest # Or run with manual [...]"
Gladly,Support and Helpdesk,https://gladly.com,https://www.gladly.ai,"A shopping AI can't handle the return. A service bot can't help you buy. So brands bolt one beside the other and leave the customer guessing which box to talk to. Gladly is a single AI across the entire relationship, so a shopper is never dumped onto a different bot, a different tone, or a dead end.

One Platform

## The decision happens on your site. [...] Chat

Approval

Approval Image

Every chat, more revenue

Sharper every week

Keeping your AI on track

Helped by name, not number

Get a Demo

The #1 Agentic Commerce Platform

## Agile by design.

Gladly is the only retail-trained AI Commerce solution for the modern customer journey. Sell, serve, and support customers - all from the same chat.

Ideal Outcome

Brand Voice

Switch On

How Hard It Works the Sale

How assertively it sells

How many products it puts forward [...] ## Tuned by your team, in minutes.

Your ecommerce team sets what it recommends, how it guides, and when things change. No engineers, no tickets, no rebuild.
"
Slack,Communications and Messaging,https://slack.com,https://docs.slack.dev/ai/slack-mcp-server,"### IP allowlist​

If your app has allowed IP address ranges configured, requests to the Slack MCP server are subject to the same restrictions. API calls originating from IP addresses not on your allowlist will be rejected. Ensure that the IP addresses your MCP client uses are included in your app's allowed list.

## Authentication and Token Handling​

Slack supports confidential OAuth for MCP clients. You'll need to use your app's `client_id` and `client_secret` for Slack OAuth. [...] If your MCP client supports OAuth 2.0 Authorization Server Metadata (RFC 8414) per MCP spec, you can rely on that. Users go through OAuth consent and authorize the app. You can initiate this OAuth request from your UX following standard MCP metadata discovery files:

 `
 `

### OAuth URL and endpoints​ [...] Slack MCP server features
  + Searching throughout Slack
  + Retrieving and sending messages
  + Managing canvases
  + Managing users
  + Managing files
  + Working with lists
  + Example use cases
 "
Twilio,Communications and Messaging,https://twilio.com,https://en.wikipedia.org/wiki/Documentation,"## References

[edit] [...] ## Producing documentation

[edit] [...] other types of written documentation, for example:"
Zoho Cliq,Communications and Messaging,https://zoho.com/cliq,https://www.zoho.com/cliq/help/restapi/v3/introduction,"# Authentication

Zoho Cliq API uses the OAuth 2.0 protocol for authentication. OAuth 2.0 is an industry-standard protocol specification that enables third-party applications (also known as clients) to gain delegated access to protected resources in Zoho Cliq via an API. [...] OAuth 2.0 is an industry-standard protocol that allows you to grant a third-party website or application (i.e., a client) delegated access to Zoho Cliq's protected resources via Zoho Cliq APIs. It is a way to authenticate and authorise API requests made to Zoho Cliq.

# Networks [...] Copy as Markdown

Copy this page as markdown to use with AI assistants

View as Markdown

Open this page as markdown in a new tab

Zoho Cliq's REST API is designed based on RESTful architecture principles, enabling seamless communication between your applications and Zoho Cliq. The latest version, v3, is the recommended choice for all new workflows, automations, and integrations."
Lark,Communications and Messaging,https://open.larksuite.com,https://open.larksuite.com/document/uAjLw4CM/ukTMukTMukTM/mcp_integration/mcp_introduction,"After configuring the application information, the application access credentials can be obtained automatically; after logging into the MCP and completing user authentication, the user access credentials can be obtained automatically, with support for automatic refresh. [...] ## Features

The MCP Tool uses the MCP (Model Context Protocol) protocol to connect with the Lark Open Platform, providing a rich set of OpenAPI tools that cover Lark's core functions (such as messages, groups, calendars, Base apps, etc.). It also supports application access tokens (tenant\_access\_token) and user access tokens (user\_access\_token) to ensure secure and controllable API calls. The features of the MCP Tool are as follows: [...] Provides a simple and easy-to-use command line interface for quick configuration and startup.
 Supports various configuration methods, adapting to different usage scenarios.
 Seamlessly integrates with mainstream AI tools (such as Trae, Cursor, Claude)."
Pumble,Communications and Messaging,https://pumble.com,https://pumble.com/help/integrations/automation-workflow-integrations/api-keys-integration,"By using the Pumble API addon, you can interact with Pumble’s API documentation without using any complex authentication processes. This addon lets you generate an API key that allows you to send messages, reactions, and more via simple HTTP requests.

Info

The rate limit is up to 1000 requests per minute per user.

## Install API addon #

Before you can create an API key, you need to install the API addon on your Pumble workspace.

Here’s how to do this: [...] You’ll receive an ephemeral message containing the generated API key. This message is not visible to other users. Copy this key for future use. The generated key enables interaction with the Addon’s public API, allowing users to send requests and execute various actions within Pumble, including: [...] 1. Click on + Add apps in the left sidebar
2. Click on Install in the API section
3. Allow permissions

## Generate an API key #

Once your API addon is installed, you can generate API keys directly in Pumble.

Here’s how:

1. Cli"
Discord,Communications and Messaging,https://discord.com,https://github.com/discord/discord-api-docs,"| .gitignore | .gitignore |  |  |
| .mintignore | .mintignore |  |  |
| .vale.ini | .vale.ini |  |  |
| CODE\_OF\_CONDUCT.md | CODE\_OF\_CONDUCT.md |  |  |
| CONTRIBUTING.md | CONTRIBUTING.md |  |  |
| LICENSE | LICENSE |  |  |
| LICENSE-CODE | LICENSE-CODE |  |  |
| README.md | README.md |  |  |
| docs.json | docs.json |  |  |
| favicon.png | favicon.png |  |  |
| package-lock.json | package-lock.json |  |  |
| package.json | package.json |  |  |
|  | [...] ## Repository files navigation

# Discord for Developers Documentation

This repo contains the official Discord for Developers documentation, which can be viewed online HERE. Before submitting pull-requests, please remember to fully read the Contributing guidelines. [...] Except as otherwise noted, the Discord API Documentation and other content in this repository is licensed under the Creative Commons Attribution-ShareAlike 4.0 License (see LICENSE), and code samples in this repository are licensed under the MIT License (see LICEN"
Telegram,Communications and Messaging,https://core.telegram.org,https://apis.io/apis/telegram/telegram-payments-api,"name: token
description: Bot authentication token obtained from @BotFather (embedded in URL path)
externalDocs:
description: Official Telegram Bot API Documentation
url:"
WhatsApp Business,Communications and Messaging,https://developers.facebook.com/docs/whatsapp,https://github.com/tkhattar14/whatsapp-business-mcp,"50+ tools across 8 modules — messaging, templates, media, analytics, flows, webhooks, business profile, account management
 Security-first — API key auth, rate limiting, input validation, webhook signature verification, error sanitization, path traversal protection
 Official Meta API only — all calls go to `graph.facebook.com`, no unofficial/third-party APIs
 Two transport modes — stdio (for MCP clients like Claude Desktop) and HTTP (for REST API access) [...] API key authentication on HTTP endpoints (`X-API-Key` header)
 Rate limiting (10 req/sec per IP, in-memory token bucket)
 Webhook signature verification (HMAC-SHA256 via `META_APP_SECRET`)
 Input validation — phone number format, message length limits
 Error sanitization — tokens and sensitive URLs stripped from error responses
 Path traversal protection — media uploads restricted to allowed directory
 Security headers — `X-Content-Type-Options`, `X-Frame-Options`, `Cache-Control` [...] | `MCP_API_KEY` | Recommended | API key for"
Aircall,Communications and Messaging,https://aircall.io,https://developer.aircall.io/docs/authentication,"For AI agents: visit  for an index of all pages formatted in Markdown and endpoints in OpenAPI. Append .md to any documentation page URL to get its markdown version.

Jump to Content

Aircall for DevelopersAircall for Developers

HomeDocumentationAPI Reference

Log InAircall for Developers

Documentation

Log In

1. FOUNDATIONS
2. Authentication

# Overview

## Getting Started

Aircall supports two ways to authenticate with the REST API: Basic Authentication and OAuth. [...] For full technical details, see the REST API reference > Basic Auth

## OAuth

OAuth lets your application access Aircall data on behalf of a user after they grant permission. It's more complex to implement than Basic Authentication, but it's the standard approach for integrations that serve multiple customers.

#### When to use OAuth [...] Use Basic Authentication when you are connecting your own internal tools or private integration to Aircall. Use OAuth when your app needs to access Aircall data on behalf of oth"
Vonage,Communications and Messaging,https://developer.vonage.com,https://developer.vonage.com/en/getting-started/concepts/authentication,"REM A command with parameters REM A command with  parameters vonage jwt create ^ vonage jwt create ^ --app-id='00000000-0000-0000-0000-000000000000' ^ -- app - id ='00000000-0000-0000-0000-000000000000' ^ --private-key=./private.key ^ --private- key =./ private.key ^ --sub='Alice' ^ --sub= 'Alice' ^ --acl=""{\""paths\"":{\""\/\/users\/\"":{},\""\/\/conversations\/\"":{},\""\/\/sessions\/\"":{},\""\/\/devices\/\"":{},\""\/\/push\/\"":{},\""\/\/knocking\/\"":{},\""\/\/legs\/\"":{}}}"" -- acl =""{\"" paths \"":{\""\/\/ [...] # A command with parameters # A command with parameters vonage jwt create ` vonage jwt create ` --app-id='00000000-0000-0000-0000-000000000000' ` -- app - id ='00000000-0000-0000-0000-000000000000'  ` --private-key=./private.key ` -- private - key =./private.key ` --sub='Alice' ` -- sub = 'Alice'  ` --acl='{\""paths\"":{\""\/\/users\/\"":{},\""\/\/conversations\/\"":{},\""\/\/sessions\/\"":{},\""\/\/devices\/\"":{},\""\/\/push\/\"":{},\""\/\/knocking\/\"":{},\""\/\/legs\/\"":{}}}' -- acl [...] REM A comma"
Google Ads,Marketing Ads Email Social,https://developers.google.com/google-ads,https://github.com/googleads/google-ads-mcp,"`GOOGLE_PROJECT_ID`: Your Google Cloud project ID.
 `GOOGLE_ADS_DEVELOPER_TOKEN`: (Optional) The developer token you want the MCP server to use (see above).
 `GOOGLE_ADS_MCP_OAUTH_CLIENT_ID`: The OAuth Client ID you want the MCP server to use.
 `GOOGLE_ADS_MCP_OAUTH_CLIENT_SECRET`: The OAuth Client secret you want the MCP server to use. [...] ```
  ""mcpServers""""google-ads-mcp"" ""httpUrl"""" "" "" ""env"" ""GOOGLE_PROJECT_ID"" ""YOUR_PROJECT_ID"" "" "" ""GOOGLE_ADS_DEVELOPER_TOKEN"" ""YOUR_DEVELOPER_TOKEN"" "" ""
  ```
 Option 2: the Application Default Credentials method

  Replace `PATH_TO_CREDENTIALS_JSON` with the path you copied in the previous step.

  We also recommend that you add a `GOOGLE_CLOUD_PROJECT` attribute to the `env` object. Replace `YOUR_PROJECT_ID` in the following example with the project ID of your Google Cloud project. [...] `GOOGLE_ADS_MCP_OAUTH_CLIENT_ID`: Your Google Cloud OAuth 2.0 Client ID.
 `GOOGLE_ADS_MCP_OAUTH_CLIENT_SECRET`: Your Google Cloud OAuth 2.0 Client Secret.
 `GO"
Meta Ads,Marketing Ads Email Social,https://developers.facebook.com/docs/marketing-apis,https://adlibrary.com/posts/meta-ads-mcp-setup-guide,"No. Meta's official MCP server handles authentication entirely through OAuth 2.0 — you authorize via your existing Meta Business Manager account. No developer app, no app review, no access token wrangling. That is the key advantage over older Marketing API integrations.

## Bottom line [...] Meta Ads MCP is Meta's official Model Context Protocol server hosted at `mcp.facebook.com/ads`. It exposes 29 tools from the Meta Marketing API v25.0 — including campaign creation, insights retrieval, and opportunity scoring — to any MCP-compatible AI client like Claude Code. Authentication uses OAuth 2.0; you connect once and the AI agent can then read account data and, if you grant write scopes, create or modify campaigns on your behalf. [...] Hosted at mcp.facebook.com/ads, the official server implements the Model Context Protocol — an open standard that lets AI clients discover and call tools on external servers. Claude Code acts as the MCP client. Meta's server is the tool provider. Authentica"
LinkedIn Ads,Marketing Ads Email Social,https://learn.microsoft.com/linkedin/marketing,https://www.scalekit.com/blog/linkedin-mcp-vs-api,"LinkedIn ships no official MCP server. Every ""LinkedIn MCP"" available in July 2026 is community-built or vendor-hosted, and the LinkedIn developer product catalog lists REST products only. The comparison is not MCP versus API; it is which MCP wrapper sits on top of which API surface. [...] The first family wraps the official REST API. It runs the same OAuth 2.0 Authorization Code flow, requests the same scopes, and hits the same partner gates. If your app is not approved for the Community Management API, the MCP wrapper cannot post as an organization either, because the wrapper has no privileges your app does not have."
GoHighLevel,Marketing Ads Email Social,https://highlevel.stoplight.io,https://ghldesk.com/gohighlevel-api,"The GoHighLevel API (also called HighLevel API or GHL API) is a REST-based application programming interface providing programmatic access to every major function of the HighLevel platform. Developers use the API to build custom integrations, third-party apps for the HighLevel App Marketplace, custom workflow automation beyond the visual builder, and enterprise-grade data integrations between GoHighLevel and external systems. [...] Last updated: April 22, 2026. GoHighLevel API is a REST API that provides programmatic access to the HighLevel platform for custom integrations, third-party app development, and workflow automation beyond the visual builder. The current API version is v2 (launched 2024) with OAuth 2.0 authentication and comprehensive endpoint coverage across contacts, opportunities, calendars, workflows, conversations, and payments. Complete documentation available at highlevel.stoplight.io. Rate limits: 500 [...] GoHighLevel API is a REST-based application programming inter"
