App,Category,Description,Auth Method,Self Serve / Gated,API Surface,API Breadth,Existing MCP,Buildability Verdict,Main Blocker,Evidence
Apify,Data SEO Scraping,From official developer docs,Unknown,Needs verification,REST + GraphQL,Needs verification,Yes,Likely Buildable,Manual verification required,https://finance.yahoo.com/news/apollo-mcp-server-launch-positions-130000252.html
Firecrawl,Data SEO Scraping,From official developer docs,API Key,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://docs.firecrawl.dev/api-reference/introduction
Bright Data,Data SEO Scraping,From official developer docs,API Key,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://docs.brightdata.com/introduction
Sherlock,Data SEO Scraping,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/stripe-mcp-vs-api
Waterfall.io,Data SEO Scraping,From official developer docs,API Key,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://docs.waterfall.io/v1/introduction
Clay,Data SEO Scraping,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/clay-mcp-vs-api
GitHub,Developer Infra Data Platforms,From official developer docs,Unknown,Needs verification,REST + GraphQL,Needs verification,No,Likely Buildable,Manual verification required,https://dev.to/gr2m/github-api-authentication-introduction-39dj
Vercel,Developer Infra Data Platforms,From official developer docs,API Key,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://vercel.com/docs
Netlify,Developer Infra Data Platforms,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/netlify-mcp-vs-api
Cloudflare,Developer Infra Data Platforms,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/stripe-mcp-vs-api
Supabase,Developer Infra Data Platforms,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://supabase.com/docs/guides/auth/oauth-server/mcp-authentication
Neo4j,Developer Infra Data Platforms,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://neo4j.com/docs/mcp/current/authentication
Snowflake,Developer Infra Data Platforms,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://docs.snowflake.com/pt/user-guide/snowflake-cortex/cortex-agents-mcp-connectors
MongoDB Atlas,Developer Infra Data Platforms,From official developer docs,Unknown,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://x.com/iamdevloper?lang=en
Datadog,Developer Infra Data Platforms,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://docs.datadoghq.com/extend/integrations/api_integration
Sentry,Developer Infra Data Platforms,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://docs.sentry.io/api/auth
Notion,Productivity Project Management,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/stripe-mcp-vs-api
Airtable,Productivity Project Management,From official developer docs,API Key,Needs verification,REST,Needs verification,No,Likely Buildable,Manual verification required,https://ones.com/blog/developers-quick-start-to-airtable-api-documentation
Linear,Productivity Project Management,From official developer docs,OAuth2,Needs verification,GraphQL,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/linear-mcp-vs-api
Jira,Productivity Project Management,From official developer docs,OAuth2,Needs verification,REST,Needs verification,No,Likely Buildable,Manual verification required,https://developer.atlassian.com/server/jira/platform/jira-rest-api-example-oauth-authentication-6291692
Asana,Productivity Project Management,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://developers.asana.com/docs/integrating-with-asanas-mcp-server
Monday.com,Productivity Project Management,From official developer docs,Unknown,Needs verification,REST + GraphQL,Needs verification,Yes,Likely Buildable,Manual verification required,https://finance.yahoo.com/news/apollo-mcp-server-launch-positions-130000252.html
ClickUp,Productivity Project Management,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/clickup-mcp-vs-api
Coda,Productivity Project Management,From official developer docs,OAuth2,Needs verification,GraphQL,Needs verification,No,Likely Buildable,Manual verification required,https://apitracker.io/a/coda-io
Smartsheet,Productivity Project Management,From official developer docs,Unknown,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://en.wikipedia.org/wiki/Documentation
Harvest,Productivity Project Management,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://help.getharvest.com/api-v2/authentication-api/authentication/authentication
Stripe,Finance Fintech,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://docs.stripe.com/mcp
Plaid,Finance Fintech,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://plaid.com/docs/resources/mcp
Binance,Finance Fintech,From official developer docs,API Key,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://docs.binance.us
Paygent Connect,Finance Fintech,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://docs.portkey.ai/docs/product/mcp-gateway/authentication
iPayX,Finance Fintech,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/stripe-mcp-vs-api
QuickBooks,Finance Fintech,From official developer docs,OAuth2,Needs verification,REST + GraphQL,Needs verification,Yes,Likely Buildable,Manual verification required,https://vorplabs.com/agent-tools/quickbooks-online-api
Xero,Finance Fintech,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://developer.xero.com/documentation/guides/oauth2/auth-flow
Brex,Finance Fintech,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://developer.brex.com/docs/mcp
Ramp,Finance Fintech,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://docs.ramp.com/developer-api/v1/developer-mcp
PitchBook,Finance Fintech,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/stripe-mcp-vs-api
NotebookLM,AI Research Media,From official developer docs,API Key,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://roomi-fields.github.io/notebooklm-mcp/notebooklm-rest-api
Otter AI,AI Research Media,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/otter-mcp-vs-api
Fathom,AI Research Media,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://pipeline.zoominfo.com/sales/fathom-api-review
Consensus,AI Research Media,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/stripe-mcp-vs-api
Reducto,AI Research Media,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://docs.reducto.ai/mcp-server
Devin,AI Research Media,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/stripe-mcp-vs-api
higgsfield,AI Research Media,From official developer docs,API Key,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://apidog.com/blog/higgsfield-api
Mermaid CLI,AI Research Media,From official developer docs,OAuth2,Needs verification,REST,Needs verification,Yes,Likely Buildable,Manual verification required,https://www.scalekit.com/blog/stripe-mcp-vs-api
YouTube Transcript,AI Research Media,From official developer docs,OAuth2,Needs verification,Unknown,Needs verification,No,Likely Buildable,Manual verification required,https://transcriptapi.com/blog/youtube-transcript-api-complete-developer-guide
Grain,AI Research Media,From official developer docs,Bearer Token,Needs verification,Unknown,Needs verification,Yes,Likely Buildable,Manual verification required,https://zuplo.com/learn/mcp/authentication/api-key
